date,time,code,open,high,low,close,volume,amount,adjustflag
2022-07-01,20220701093500000,sh.600000,8.0100,8.0400,8.0100,8.0200,814989,6540084.0000,3
2022-07-01,20220701094000000,sh.600000,8.0100,8.0300,8.0100,8.0200,561500,4500107.0000,3
2022-07-01,20220701094500000,sh.600000,8.0200,8.0200,8.0100,8.0100,567996,4550430.0000,3
2022-07-01,20220701095000000,sh.600000,8.0200,8.0200,8.0000,8.0100,958804,7673820.0000,3
2022-07-01,20220701095500000,sh.600000,8.0000,8.0100,7.9800,7.9800,1141000,9122703.0000,3
2022-07-01,20220701100000000,sh.600000,7.9800,8.0000,7.9800,7.9900,467500,3733681.0000,3
2022-07-01,20220701100500000,sh.600000,7.9900,8.0000,7.9800,7.9900,336753,2690549.0000,3
2022-07-01,20220701101000000,sh.600000,8.0000,8.0000,7.9900,7.9900,151600,1211935.0000,3
2022-07-01,20220701101500000,sh.600000,8.0000,8.0000,7.9900,8.0000,480600,3844227.0000,3
2022-07-01,20220701102000000,sh.600000,8.0000,8.0000,7.9900,8.0000,295100,2359129.0000,3
2022-07-01,20220701102500000,sh.600000,8.0000,8.0000,7.9900,8.0000,491300,3927166.0000,3
2022-07-01,20220701103000000,sh.600000,8.0000,8.0000,7.9900,8.0000,190100,1519088.0000,3
2022-07-01,20220701103500000,sh.600000,8.0000,8.0000,7.9900,8.0000,322500,2578425.0000,3
2022-07-01,20220701104000000,sh.600000,7.9900,8.0000,7.9900,7.9900,150900,1206307.0000,3
2022-07-01,20220701104500000,sh.600000,8.0000,8.0000,7.9900,7.9900,576731,4612446.0000,3
2022-07-01,20220701105000000,sh.600000,8.0000,8.0000,7.9900,7.9900,377700,3018144.0000,3
2022-07-01,20220701105500000,sh.600000,7.9900,8.0000,7.9900,7.9900,500700,4001410.0000,3
2022-07-01,20220701110000000,sh.600000,7.9900,8.0000,7.9800,7.9900,344000,2748170.0000,3
2022-07-01,20220701110500000,sh.600000,7.9900,8.0000,7.9800,7.9900,132400,1057929.0000,3
2022-07-01,20220701111000000,sh.600000,8.0000,8.0000,7.9900,8.0000,152013,1215036.0000,3
2022-07-01,20220701111500000,sh.600000,8.0000,8.0000,7.9900,8.0000,383300,3062676.0000,3
2022-07-01,20220701112000000,sh.600000,8.0000,8.0000,7.9800,7.9900,277400,2215937.0000,3
2022-07-01,20220701112500000,sh.600000,7.9900,8.0000,7.9800,7.9800,279500,2232225.0000,3
2022-07-01,20220701113000000,sh.600000,7.9800,7.9900,7.9800,7.9800,175800,1403024.0000,3
2022-07-01,20220701130500000,sh.600000,7.9900,7.9900,7.9800,7.9900,553900,4420998.0000,3
2022-07-01,20220701131000000,sh.600000,7.9800,7.9900,7.9800,7.9800,155337,1239887.0000,3
2022-07-01,20220701131500000,sh.600000,7.9900,7.9900,7.9800,7.9800,279600,2233163.0000,3
2022-07-01,20220701132000000,sh.600000,7.9900,7.9900,7.9800,7.9800,215800,1723544.0000,3
2022-07-01,20220701132500000,sh.600000,7.9800,7.9900,7.9800,7.9900,128900,1029665.0000,3
2022-07-01,20220701133000000,sh.600000,7.9900,8.0000,7.9800,8.0000,300100,2397981.0000,3
2022-07-01,20220701133500000,sh.600000,7.9900,8.0000,7.9900,7.9900,222453,1778814.0000,3
2022-07-01,20220701134000000,sh.600000,7.9900,8.0000,7.9900,8.0000,67500,539478.0000,3
2022-07-01,20220701134500000,sh.600000,7.9900,8.0000,7.9900,7.9900,191043,1526536.0000,3
